method,nominal_level,side,kind,conditioner,timing,stat,df,p_value,n,regressors,expected_violation_rate,detail,p_holm,n_tests_in_family,implementable
MC-Dropout-Regime-LSTM-B,0.95,upper,DQ incremental,regime,t-1 (implementable),13.793020160648823,2.0,0.0010113086635729158,780,"regime_transitional(t-1), regime_crisis(t-1)",0.025000000000000022,"DQ_full=38.940 (df 7, p=2.007e-06) vs DQ_level+dynamics=25.147 (df 5, p=0.0001305)",0.007079160645010411,7,True
MC-Dropout-Regime-LSTM-B,0.95,upper,DQ incremental,transition,t-1 (implementable),0.7617976580798889,1.0,0.38276653503095814,780,transition_exante(t-1),0.025000000000000022,"DQ_full=25.908 (df 6, p=0.0002316) vs DQ_level+dynamics=25.147 (df 5, p=0.0001305)",1.0,7,True
MC-Dropout-Regime-LSTM-B,0.95,upper,DQ incremental,width,t-1 (implementable),4.939103083405051,1.0,0.0262556576116423,780,log_interval_width,0.025000000000000022,"DQ_full=30.086 (df 6, p=3.786e-05) vs DQ_level+dynamics=25.147 (df 5, p=0.0001305)",0.1050226304465692,7,True
MC-Dropout-Regime-LSTM-B,0.95,upper,difference in coverage,regime=calm,lagged t-1 (conditional / implementable),2.6715591179677767,,0.0075499772099466384,784,,0.025000000000000022,PICP 0.9265 (n=381) vs 0.9677 (n=403); z_iid=2.592 p_iid=0.009543,0.03774988604973319,7,True
MC-Dropout-Regime-LSTM-B,0.95,upper,difference in coverage,regime=transitional,lagged t-1 (conditional / implementable),-2.734024310286269,,0.006256542493980279,784,,0.025000000000000022,PICP 0.9699 (n=332) vs 0.9314 (n=452); z_iid=-2.390 p_iid=0.01683,0.03753925496388168,7,True
MC-Dropout-Regime-LSTM-B,0.95,upper,difference in coverage,regime=crisis,lagged t-1 (conditional / implementable),-0.345504608787014,,0.729715046052652,784,,0.025000000000000022,PICP 0.9577 (n=71) vs 0.9467 (n=713); z_iid=-0.399 p_iid=0.6902,1.0,7,True
MC-Dropout-Regime-LSTM-B,0.95,upper,difference in coverage,regime transition (ex-ante),ex-ante 1{s_(t-1) != s_(t-2)} — known at t-1; implementable,-0.9012857494259224,,0.3674364087059394,784,,0.025000000000000022,PICP 0.9661 (n=59) vs 0.9462 (n=725); z_iid=-0.660 p_iid=0.5092,1.0,7,True
MC-Dropout-LSTM,0.9,both,DQ incremental,regime,t-1 (implementable),2.4557391642225284,2.0,0.2929159467996837,780,"regime_transitional(t-1), regime_crisis(t-1)",0.09999999999999998,"DQ_full=16.710 (df 7, p=0.01937) vs DQ_level+dynamics=14.254 (df 5, p=0.01407)",1.0,7,True
MC-Dropout-LSTM,0.9,both,DQ incremental,transition,t-1 (implementable),0.23687160718504607,1.0,0.6264747918587205,780,transition_exante(t-1),0.09999999999999998,"DQ_full=14.491 (df 6, p=0.02461) vs DQ_level+dynamics=14.254 (df 5, p=0.01407)",1.0,7,True
MC-Dropout-LSTM,0.9,both,DQ incremental,width,t-1 (implementable),0.17665620082243016,1.0,0.6742627378576846,780,log_interval_width,0.09999999999999998,"DQ_full=14.431 (df 6, p=0.02518) vs DQ_level+dynamics=14.254 (df 5, p=0.01407)",1.0,7,True
MC-Dropout-LSTM,0.9,both,difference in coverage,regime=calm,lagged t-1 (conditional / implementable),1.331267316703751,,0.18310106832924855,784,,0.09999999999999998,PICP 0.8478 (n=381) vs 0.8809 (n=403); z_iid=1.356 p_iid=0.1752,1.0,7,True
