lag,acf,se_white,se_bartlett,significant_white,significant_bartlett,pair
14,-0.04382052423828765,0.03571428571428571,0.03762000638672727,False,False,LSTM-RVonly vs HAR-RV
15,0.009842502766585758,0.03571428571428571,0.037685056026796684,False,False,LSTM-RVonly vs HAR-RV
16,0.07315356769049253,0.03571428571428571,0.037688334766735374,True,False,LSTM-RVonly vs HAR-RV
17,0.02646821074769002,0.03571428571428571,0.03786901400267828,False,False,LSTM-RVonly vs HAR-RV
18,0.00906103718358035,0.03571428571428571,0.03789260323807224,False,False,LSTM-RVonly vs HAR-RV
19,0.002731501249796696,0.03571428571428571,0.037895366801797344,False,False,LSTM-RVonly vs HAR-RV
20,-0.01211621587272564,0.03571428571428571,0.037895617932140635,False,False,LSTM-RVonly vs HAR-RV
1,0.16582071900045184,0.03571428571428571,0.03571428571428571,True,True,Regime-LSTM-A vs LSTM
2,0.20213678193329024,0.03571428571428571,0.036683161864986824,True,True,Regime-LSTM-A vs LSTM
3,0.1862144603724896,0.03571428571428571,0.038077384600450785,True,True,Regime-LSTM-A vs LSTM
4,0.14100215646034342,0.03571428571428571,0.03922175360559413,True,True,Regime-LSTM-A vs LSTM
5,0.1490407185036784,0.03571428571428571,0.03986306992663333,True,True,Regime-LSTM-A vs LSTM
6,-0.024435803683533958,0.03571428571428571,0.040567604152322925,False,False,Regime-LSTM-A vs LSTM
7,0.20182309090968892,0.03571428571428571,0.04058637385420372,True,True,Regime-LSTM-A vs LSTM
8,0.0016166632238796056,0.03571428571428571,0.041846903523821435,False,False,Regime-LSTM-A vs LSTM
9,0.192215248994207,0.03571428571428571,0.041846983187308805,True,True,Regime-LSTM-A vs LSTM
10,0.11460281463840552,0.03571428571428571,0.042958372787586296,True,True,Regime-LSTM-A vs LSTM
11,0.01756753068480055,0.03571428571428571,0.04334658461128121,False,False,Regime-LSTM-A vs LSTM
12,0.08688661093418441,0.03571428571428571,0.04335566501187643,True,True,Regime-LSTM-A vs LSTM
